NCBI taxonomy ID,Domain,Phylum,Class,Order,Family,Genus,Species
32049,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. PCC 7002
32051,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. WH 7803
43989,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Cyanothece,Cyanothece sp. ATCC 51142
50743,Bacteria,Bacteroidetes,undef,undef,undef,undef,unidentified eubacterium SCB49
52598,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. EE-36
58051,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella sp. PE36
59919,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
59920,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
59922,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
59931,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. WH 7805
60480,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MR-4
60481,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MR-7
62977,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. ADP1
64091,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum
64471,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. CC9311
69042,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. WH 5701
74546,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
74547,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
84588,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. WH 8102
87626,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas tunicata
89187,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius nubinhibens
91464,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. PCC 7335
93058,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
93059,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
93060,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
96563,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri
105559,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus watsonii
110662,Bacteria,Cyanobacteria,undef,Chroococcales,undef,Synechococcus,Synechococcus sp. CC9605
118168,Bacteria,Cyanobacteria,undef,Oscillatoriales,undef,Coleofasciculus,Coleofasciculus chthonoplastes
121723,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium sp. SKA34
123214,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,Persephonella marina
146891,Bacteria,Cyanobacteria,undef,Prochlorales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
